wordItem,letter,cor_resp,order
THEJNP,O,left,0.02327036834
N,W,left,0.7835112598
QLKBD,Q,right,0.03577422476
SDFGH,B,left,0.713815783
MP,M,right,0.6006535457
EZPM,Z,right,0.2264241065
WZSKR,N,left,0.04813280056
G,G,right,0.4799315233
X,D,left,0.2639625816
NLTUF,J,left,0.9254362647
WJP,Q,left,0.44893903
WLDNR,D,right,0.7518604001
VKBX,K,right,0.1472921136
DPZ,S,left,0.5855820073
RC,C,right,0.4830632092
D,D,right,0.7005936869
CDSJKX,P,left,0.9183372128
JX,J,right,0.6892698225
EK,D,left,0.002028556988
LSKC,V,left,0.1784259225
QPBC,X,left,0.7911664499
FPV,C,left,0.4743230901
WZXLFH,L,right,0.3797256483
NH,T,left,0.03536541934
QLK,K,right,0.1975768547
WVTLCJ,V,right,0.03234091971
WL,G,left,0.08178000893
CMFJH,J,right,0.4211757618
S,S,right,0.1650347544
AJBFRP,Q,left,0.4584402729
V,H,left,0.1655808452
MRWD,W,right,0.2995190094
FHRTZK,T,right,0.946276868
LSRT,H,left,0.6758226221
DMJ,M,right,0.1881743926
XSQ,Q,right,0.9211799684
